rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2789,black,"Nepomniachtchi, Ian",2794,draw,54,A50,Bucharest,2023
2789,white,"Caruana, Fabiano",2764,draw,21,A15,Bucharest,2023
2789,white,"Vachier-Lagrave, Maxime",2742,draw,34,D27,Bucharest,2023
2829,black,"Nepomniachtchi, Ian",2761,win,68,C84,Astana,2023
2829,white,"Nepomniachtchi, Ian",2761,draw,33,A07,Astana,2023
2829,black,"Nepomniachtchi, Ian",2761,draw,47,C84,Astana,2023
2829,white,"Nepomniachtchi, Ian",2761,draw,35,A46,Astana,2023
2788,white,"Nepomniachtchi, Ian",2795,draw,90,E46,Astana,2023
2788,black,"Nepomniachtchi, Ian",2795,draw,39,C84,Astana,2023
2788,white,"Nepomniachtchi, Ian",2795,win,38,D04,Astana,2023
2788,black,"Nepomniachtchi, Ian",2795,draw,39,C84,Astana,2023
2788,white,"Nepomniachtchi, Ian",2795,draw,45,A16,Astana,2023
2788,black,"Nepomniachtchi, Ian",2795,draw,82,C65,Astana,2023
2788,white,"Nepomniachtchi, Ian",2795,draw,45,E28,Astana,2023
2788,black,"Nepomniachtchi, Ian",2795,lose,37,C07,Astana,2023
2788,white,"Nepomniachtchi, Ian",2795,win,44,A46,Astana,2023
2788,black,"Nepomniachtchi, Ian",2795,lose,48,C84,Astana,2023
2788,white,"Nepomniachtchi, Ian",2795,win,47,A16,Astana,2023
2788,black,"Nepomniachtchi, Ian",2795,draw,30,A50,Astana,2023
2788,white,"Nepomniachtchi, Ian",2795,lose,29,E10,Astana,2023
2788,black,"Nepomniachtchi, Ian",2795,draw,49,C85,Astana,2023
2811,white,"Caruana, Fabiano",2766,draw,19,C78,Wijk aan Zee,2023
2811,black,"Rapport, Richard",2740,lose,42,B53,Wijk aan Zee,2023
2811,white,"Van Foreest, Jorden",2681,draw,33,D12,Wijk aan Zee,2023
2811,black,"Abdusattorov, Nodirbek",2713,draw,27,C67,Wijk aan Zee,2023
2811,white,"Giri, Anish",2764,lose,37,A07,Wijk aan Zee,2023
2811,black,"So, Wesley",2760,draw,42,B12,Wijk aan Zee,2023
2811,black,"Keymer, Vincent",2696,draw,58,A06,Wijk aan Zee,2023
2811,white,"Aronian, Levon",2735,draw,48,C55,Wijk aan Zee,2023
2811,black,Erigaisi Arjun,2722,draw,37,C53,Wijk aan Zee,2023
2811,white,Praggnanandhaa R,2684,lose,73,C50,Wijk aan Zee,2023
2811,black,"Carlsen, Magnus",2859,draw,37,A46,Wijk aan Zee,2023
2811,white,"Maghsoodloo, Parham",2719,draw,79,C78,Wijk aan Zee,2023
2811,black,Gukesh D,2725,win,38,E15,Wijk aan Zee,2023
2808,black,"Li, Di",2575,win,22,D43,Fuling Chongqing,2022
2836,white,"Xiao, Tong",2041,draw,45,B90,Fuling Chongqing,2022
2808,white,"Nie, Xinyang",2388,win,55,D31,Fuling Chongqing,2022
2836,black,"Zhang, Pengxiang",2579,win,43,C88,Fuling Chongqing,2022
2808,black,"Ma, Qun",2666,draw,37,C67,Fuling Chongqing,2022
2808,white,"Bu, Xiangzhi",2709,win,60,D12,Fuling Chongqing,2022
2836,black,"Liu, Yan",2444,win,40,A04,"Fuling,Chongqing,China",2022
2836,white,"Wang, Hao B",2165,win,36,B90,"Fuling,Chongqing,China",2022
2808,black,"Wang, Hao B",2165,win,35,B90,Fuling Chongqing,2022
2808,white,"Li, Chao B",2679,draw,66,D17,Fuling Chongqing,2022
2836,black,"Zhang, Di",1804,win,38,A45,Fuling Chongqing,2022
2808,black,"Xu, Yinglun",2549,win,39,A21,Fuling Chongqing,2022
2836,black,"Wei, Yi",2718,draw,23,C48,Fuling,2022
2808,white,"Xu, Yi",2507,draw,30,A46,Fuling Chongqing,2022
2806,white,"Nakamura, Hikaru",2760,win,58,D40,Madrid,2022
2806,black,"Firouzja, Alireza",2793,draw,42,C47,Madrid,2022
2806,white,"Radjabov, Teimour",2753,lose,26,E48,Madrid,2022
2806,black,"Caruana, Fabiano",2783,win,78,C88,Madrid,2022
2806,black,"Rapport, Richard",2764,win,55,C77,Madrid,2022
2806,white,"Duda, Jan Krzysztof",2750,win,61,A15,Madrid,2022
2806,black,"Nepomniachtchi, Ian",2766,draw,38,C47,Madrid,2022
2806,white,"Firouzja, Alireza",2793,draw,54,A20,Madrid,2022
2806,black,"Nakamura, Hikaru",2760,draw,42,C55,Madrid,2022
2806,black,"Radjabov, Teimour",2753,draw,50,E00,Madrid,2022
2806,white,"Caruana, Fabiano",2783,draw,64,E10,Madrid,2022
2806,white,"Rapport, Richard",2764,draw,40,D86,Madrid,2022
2806,black,"Duda, Jan Krzysztof",2750,draw,41,C55,Madrid,2022
2806,white,"Nepomniachtchi, Ian",2766,lose,32,A20,Madrid,2022
2799,white,"Bu, Xiangzhi",2708,draw,31,C67,Hangzhou ,2022
2799,black,"Zhang, Zhong",2640,win,64,B52,Hangzhou ,2022
2799,white,"Wei, Yi",2729,draw,46,D41,Hangzhou ,2022
2799,black,"Xu, Xiangyu",2564,draw,36,E35,Hangzhou CHN,2022
2799,black,"Ma, Qun",2645,draw,26,C48,Hangzhou ,2022
2799,white,"Zhang, Zhong",2640,win,84,D26,Hangzhou ,2022
2799,black,"Wei, Yi",2729,draw,30,C48,Hangzhou ,2022
2799,white,"Xu, Xiangyu",2564,win,41,E46,Hangzhou ,2022
2799,white,"Ma, Qun",2645,draw,31,C67,Hangzhou ,2022
2799,white,"Wei, Yi",2729,win,41,E06,China,2022
2799,black,"Wei, Yi",2729,draw,34,E15,China,2022
2799,white,"Wei, Yi",2729,draw,30,A15,China,2022
2799,black,"Wei, Yi",2729,draw,42,E10,China,2022
2799,white,"Wei, Yi",2729,draw,41,E06,China,2022
2799,black,"Xu, Xiangyu",2564,win,57,E10,Hangzhou,2022
2799,white,"Bai, Jinshi",2593,win,47,A30,Hangzhou,2022
2799,black,"Li, Di",2579,draw,36,D43,Hangzhou,2022
2799,black,"Bai, Jinshi",2593,draw,73,D45,Hangzhou,2022
2799,white,"Xu, Xiangyu",2564,win,35,A10,Hangzhou,2022
2799,white,"Li, Di",2579,win,65,A45,Hangzhou,2022
2799,black,"Xu, Xiangyu",2564,draw,41,E10,Hangzhou,2022
2799,white,"Bai, Jinshi",2593,win,36,D32,Hangzhou,2022
2799,black,"Li, Di",2579,win,53,E10,Hangzhou,2022
2799,black,"Bai, Jinshi",2593,win,46,A46,Hangzhou,2022
2799,white,"Xu, Xiangyu",2564,win,77,D70,Hangzhou,2022
2799,white,"Li, Di",2579,win,44,A16,Hangzhou,2022
2799,white,"Lu, Shanglei",2616,win,41,A11,Hangzhou,2021
2799,black,"Lu, Shanglei",2616,draw,35,C67,Hangzhou,2021
2799,white,"Lu, Shanglei",2616,draw,32,A11,Hangzhou,2021
2799,black,"Lu, Shanglei",2616,win,37,C88,Hangzhou,2021
2836,black,"Ju, Wenjun",2610,win,35,D14,Hainan Danzhou ,2021
2836,white,"Wei, Yi",2752,draw,46,A29,Hainan Danzhou ,2021
2836,black,"Rapport, Richard",2750,draw,51,A06,Hainan Danzhou ,2021
2836,black,"Yu, Yangyi",2738,win,63,D35,Hainan Danzhou ,2021
2799,white,"Carlsen, Magnus",2847,draw,39,E01,chess24.com INT,2021
2799,black,"Carlsen, Magnus",2847,lose,38,C84,chess24.com INT,2021
2799,white,"Carlsen, Magnus",2847,win,34,E60,chess24.com INT,2021
2799,black,"Carlsen, Magnus",2847,win,48,A01,chess24.com INT,2021
2799,white,"Carlsen, Magnus",2847,win,66,E06,chess24.com INT,2021
2799,white,"Carlsen, Magnus",2847,draw,69,E06,chess24.com INT,2021
2799,black,"Carlsen, Magnus",2847,draw,39,B13,chess24.com INT,2021
2799,white,"Carlsen, Magnus",2847,draw,62,E06,chess24.com INT,2021
2799,black,"Carlsen, Magnus",2847,lose,32,A22,chess24.com INT,2021
2799,black,"Artemiev, Vladislav",2704,lose,61,A07,chess24.com INT,2021
2799,white,"Artemiev, Vladislav",2704,draw,48,D32,chess24.com INT,2021
2799,black,"Artemiev, Vladislav",2704,lose,70,A45,chess24.com INT,2021
2799,white,"Artemiev, Vladislav",2704,win,36,E60,chess24.com INT,2021
2799,black,"Artemiev, Vladislav",2704,lose,76,A22,chess24.com INT,2021
2799,white,"Artemiev, Vladislav",2704,draw,85,E60,chess24.com INT,2021
2799,black,"Artemiev, Vladislav",2704,win,50,A07,chess24.com INT,2021
2799,white,"Artemiev, Vladislav",2704,win,41,D30,chess24.com INT,2021
2799,black,"Artemiev, Vladislav",2704,draw,79,A07,chess24.com INT,2021
2799,black,"Duda, Jan-Krzysztof",2729,win,23,C59,chess24.com INT,2021
2799,white,"Duda, Jan-Krzysztof",2729,win,64,D52,chess24.com INT,2021
2799,black,"Duda, Jan-Krzysztof",2729,win,51,C02,chess24.com INT,2021
2799,white,"Duda, Jan-Krzysztof",2729,lose,45,D43,chess24.com INT,2021
2799,white,"Duda, Jan-Krzysztof",2729,draw,44,D43,chess24.com INT,2021
2799,black,"Duda, Jan-Krzysztof",2729,draw,37,D41,chess24.com INT,2021
2799,white,"Duda, Jan-Krzysztof",2729,draw,87,D43,chess24.com INT,2021
2799,black,"Duda, Jan-Krzysztof",2729,draw,73,D38,chess24.com INT,2021
2799,black,"Dubov, Daniil",2714,draw,28,C46,chess24.com INT,2021
2799,white,"Duda, Jan-Krzysztof",2729,lose,53,A30,chess24.com INT,2021
2799,black,"Giri, Anish",2780,draw,37,D38,chess24.com INT,2021
2799,white,"Carlsen, Magnus",2847,draw,15,E01,chess24.com INT,2021
2799,black,"Salem, A.R. Saleh",2682,win,56,E24,chess24.com INT,2021
2799,white,"Svidler, Peter",2714,win,41,D70,chess24.com INT,2021
2799,black,"So, Wesley",2770,draw,27,E32,chess24.com INT,2021
2799,white,"Hou, Yifan",2658,draw,52,A30,chess24.com INT,2021
2799,black,"Firouzja, Alireza",2759,win,36,D02,chess24.com INT,2021
2799,white,"Vidit, Santosh Gujrathi",2726,draw,45,A30,chess24.com INT,2021
2799,black,"Erigaisi, Arjun",2567,draw,47,E00,chess24.com INT,2021
2799,white,"Gukesh, D.",2578,draw,57,D31,chess24.com INT,2021
2799,white,"Aronian, Levon",2781,draw,64,E04,chess24.com INT,2021
2799,black,"Adhiban, Baskaran",2660,win,35,A09,chess24.com INT,2021
2799,white,"Artemiev, Vladislav",2704,win,40,D30,chess24.com INT,2021
2791,white,"Nepomniachtchi, Ian",2789,win,35,D70,Yekaterinburg,2021
2791,black,"Alekseenko, Kirill",2696,win,61,C55,Yekaterinburg,2021
2791,white,"Grischuk, Alexander",2777,win,47,D37,Yekaterinburg,2021
2791,black,"Giri, Anish",2776,lose,29,C85,Yekaterinburg,2021
2791,black,"Caruana, Fabiano",2820,draw,40,C88,Yekaterinburg,2021
2791,white,"Vachier-Lagrave, Maxime",2758,draw,88,D70,Yekaterinburg,2021
2791,black,"Wang, Hao",2763,draw,28,C45,Yekaterinburg,2021
2791,white,"So, Wesley",2770,draw,26,C53,chess24.com INT,2021
2791,black,"Vachier-Lagrave, Maxime",2784,lose,24,B90,chess24.com INT,2021
2791,white,"Carlsen, Magnus",2862,win,36,E10,chess24.com INT,2021
2791,black,"Dubov, Daniil",2710,lose,18,D02,chess24.com INT,2021
2791,black,"Radjabov, Teimour",2765,draw,40,E15,chess24.com INT,2021
2791,white,"Vidit, Santosh Gujrathi",2726,win,51,A36,chess24.com INT,2021
2791,black,"Nakamura, Hikaru",2736,lose,52,A01,chess24.com INT,2021
2791,white,"Nepomniachtchi, Ian",2789,draw,11,E60,chess24.com INT,2021
2791,black,"Giri, Anish",2764,lose,63,C77,chess24.com INT,2021
2791,white,"Grischuk, Alexander",2777,lose,74,A36,chess24.com INT,2021
2791,black,"Duda, Jan-Krzysztof",2743,lose,48,D38,chess24.com INT,2021
2791,white,"Dominguez Perez, Leinier",2758,win,51,A36,chess24.com INT,2021
2791,black,"Shankland, Sam",2691,lose,54,E12,chess24.com INT,2021
2791,white,"Bluebaum, Matthias",2670,draw,77,D35,chess24.com INT,2021
2791,black,"Aronian, Levon",2781,lose,33,B90,chess24.com INT,2021
2791,white,"Carlsen, Magnus",2863,lose,45,E01,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,33,D02,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,draw,47,E60,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,53,D37,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,win,31,E62,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,lose,45,D43,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,lose,29,B90,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,lose,55,B90,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,draw,22,E62,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,35,E91,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,lose,36,C50,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,lose,46,D41,chess24.com INT,2020
2788,black,"Carlsen, Magnus",2886,draw,41,A48,chess24.com INT,2020
2788,black,"Carlsen, Magnus",2886,lose,46,D02,chess24.com INT,2020
2788,white,"Carlsen, Magnus",2886,win,46,B13,chess24.com INT,2020
2836,black,"Carlsen, Magnus",2881,draw,39,C67,chess24.com INT,2020
2836,white,"Carlsen, Magnus",2881,draw,43,B13,chess24.com INT,2020
2836,black,"Carlsen, Magnus",2881,lose,24,D02,chess24.com INT,2020
2836,white,"Carlsen, Magnus",2881,win,44,B90,chess24.com INT,2020
2791,black,"Leko, Peter",2663,draw,46,A06,chess24.com INT,2020
2791,white,"Leko, Peter",2663,draw,18,D38,chess24.com INT,2020
2791,black,"Leko, Peter",2663,draw,41,C50,chess24.com INT,2020
2791,white,"Leko, Peter",2663,win,65,C50,chess24.com INT,2020
2791,black,"Anand, Viswanathan",2753,win,40,B90,chess24.com INT,2020
2791,white,"Anand, Viswanathan",2753,draw,47,A08,chess24.com INT,2020
2791,black,"Anand, Viswanathan",2753,win,22,B90,chess24.com INT,2020
2791,white,"Giri, Anish",2764,lose,55,E48,chess24.com INT,2020
2791,black,"Giri, Anish",2764,draw,94,A20,chess24.com INT,2020
2791,white,"Giri, Anish",2764,lose,23,E06,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,42,B51,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,draw,60,D78,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,lose,26,D43,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,draw,31,A05,chess24.com INT,2020
2791,white,"Kramnik, Vladimir",2753,lose,63,D37,chess24.com INT,2020
2791,black,"Kramnik, Vladimir",2753,draw,102,B90,chess24.com INT,2020
2791,white,"Kramnik, Vladimir",2753,lose,34,D37,chess24.com INT,2020
2791,black,"Kramnik, Vladimir",2753,win,52,B92,chess24.com INT,2020
2791,white,"Svidler, Peter",2723,win,26,D16,chess24.com INT,2020
2791,black,"Svidler, Peter",2723,draw,42,D78,chess24.com INT,2020
2791,white,"Svidler, Peter",2723,win,29,D16,chess24.com INT,2020
2791,black,"Svidler, Peter",2723,lose,50,D78,chess24.com INT,2020
2791,black,"Ivanchuk, Vasyl",2678,lose,25,E50,chess24.com INT,2020
2791,white,"Ivanchuk, Vasyl",2678,win,25,E00,chess24.com INT,2020
2791,black,"Ivanchuk, Vasyl",2678,lose,48,C45,chess24.com INT,2020
2791,white,"Ivanchuk, Vasyl",2678,draw,45,E15,chess24.com INT,2020
2791,black,"Nepomniachtchi, Ian",2784,draw,48,B11,chess24.com INT,2020
2791,white,"Nepomniachtchi, Ian",2784,lose,59,A81,chess24.com INT,2020
2791,black,"Nepomniachtchi, Ian",2784,lose,35,C45,chess24.com INT,2020
2791,white,"Gelfand, Boris",2676,lose,16,B30,chess24.com INT,2020
2791,black,"Gelfand, Boris",2676,draw,48,D86,chess24.com INT,2020
2791,white,"Gelfand, Boris",2676,lose,62,E47,chess24.com INT,2020
2791,black,"Gelfand, Boris",2676,draw,43,E10,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,lose,29,A20,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,33,D38,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,lose,66,E90,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,lose,55,A20,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,83,D38,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,draw,35,E94,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,64,D85,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,win,4,A13,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,win,41,E97,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,win,63,C65,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,28,E06,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,lose,29,A05,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,lose,50,A88,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,win,59,A06,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,win,62,E32,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,34,B52,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,lose,56,D20,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,49,C65,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,48,C65,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,64,A88,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,win,80,C65,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,94,A20,chess24.com INT,2020
2791,black,"Radjabov, Teimour",2765,draw,58,A06,chess24.com INT,2020
2791,white,"Vachier-Lagrave, Maxime",2778,win,33,A40,chess24.com INT,2020
2791,white,"Nepomniachtchi, Ian",2784,win,48,E60,chess24.com INT,2020
2791,black,"Giri, Anish",2764,lose,36,B52,chess24.com INT,2020
2791,white,"Caruana, Fabiano",2835,draw,51,A07,chess24.com INT,2020
2791,white,"Radjabov, Teimour",2765,draw,28,A35,chess24.com INT,2020
2791,black,"Vachier-Lagrave, Maxime",2778,draw,54,A20,chess24.com INT,2020
2791,black,"Nepomniachtchi, Ian",2784,draw,47,D39,chess24.com INT,2020
2791,white,"Giri, Anish",2764,draw,37,A20,chess24.com INT,2020
2791,black,"Caruana, Fabiano",2835,draw,44,E46,chess24.com INT,2020
2836,white,"Dubov, Daniil",2770,draw,51,A14,chess24.com INT,2020
2836,black,"Dubov, Daniil",2770,lose,47,E10,chess24.com INT,2020
2836,white,"Dubov, Daniil",2770,lose,21,A15,chess24.com INT,2020
2836,white,"Dubov, Daniil",2770,lose,76,E10,chess24.com INT,2020
2836,black,"Dubov, Daniil",2770,draw,52,C26,chess24.com INT,2020
2836,white,"Dubov, Daniil",2770,win,39,D11,chess24.com INT,2020
2836,black,"Dubov, Daniil",2770,lose,20,C28,chess24.com INT,2020
2836,black,"Yu, Yangyi",2738,draw,67,A45,chess24.com INT,2020
2836,white,"Yu, Yangyi",2738,draw,39,D20,chess24.com INT,2020
2836,black,"Yu, Yangyi",2738,win,54,E49,chess24.com INT,2020
2836,white,"Yu, Yangyi",2738,lose,31,D25,chess24.com INT,2020
2836,black,"Yu, Yangyi",2738,draw,47,E49,chess24.com INT,2020
2791,black,"Yu, Yangyi",2709,draw,29,C58,chess24.com INT,2020
2791,white,"Yu, Yangyi",2709,draw,41,D27,chess24.com INT,2020
2791,black,"Yu, Yangyi",2709,draw,62,E46,chess24.com INT,2020
2791,white,"Yu, Yangyi",2709,win,37,D27,chess24.com INT,2020
2791,black,"Yu, Yangyi",2709,lose,69,C58,chess24.com INT,2020
2791,white,"Yu, Yangyi",2709,draw,37,D27,chess24.com INT,2020
2791,black,"Yu, Yangyi",2709,draw,43,E46,chess24.com INT,2020
2791,white,"Yu, Yangyi",2709,draw,44,A20,chess24.com INT,2020
2791,black,"Yu, Yangyi",2709,draw,49,E46,chess24.com INT,2020
2791,black,"Karjakin, Sergey",2752,draw,33,C67,chess24.com INT,2020
2791,white,"So, Wesley",2770,draw,31,C67,chess24.com INT,2020
2791,black,"Duda, Jan Krzysztof",2753,win,27,A22,chess24.com INT,2020
2791,white,"Wei, Yi",2732,win,55,E60,chess24.com INT,2020
2791,black,"Yu, Yangyi",2709,lose,46,D97,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,44,E06,chess24.com INT,2020
2791,white,"Grischuk, Alexander",2777,lose,25,E02,chess24.com INT,2020
2791,black,"Aronian, Levon",2773,draw,24,B50,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,draw,48,E01,chess24.com INT,2020
2791,black,"Firouzja, Alireza",2728,draw,66,C65,chess24.com INT,2020
2791,white,"Dubov, Daniil",2699,win,60,B31,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,38,C53,chess.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,38,C53,chess.com INT,2020
2791,white,"Nakamura, Hikaru",2736,win,66,C50,chess.com INT,2020
2791,white,"Nakamura, Hikaru",2736,win,66,C50,chess.com INT,2020
2791,black,"Nepomniachtchi, Ian",2784,draw,30,D45,chess.com INT,2020
2791,black,"Nepomniachtchi, I.",2784,draw,30,D45,chess.com INT,2020
2791,white,"Vachier-Lagrave, Maxime",2778,draw,45,A06,chess.com INT,2020
2791,white,"Vachier Lagrave, M.",2778,draw,45,A06,chess.com INT,2020
2791,black,"Radjabov, Teimour",2765,win,53,A05,chess.com INT,2020
2791,black,"Radjabov, T.",2765,win,53,A05,chess.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,36,B22,chess.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,36,B22,chess.com INT,2020
2791,white,"Anand, Viswanathan",2753,draw,54,D35,chess.com INT,2020
2791,white,"Anand, V.",2753,draw,54,D35,chess.com INT,2020
2791,white,"Nepomniachtchi, Ian",2784,win,45,D85,chess.com INT,2020
2791,white,"Nepomniachtchi, I.",2784,win,45,D85,chess.com INT,2020
2791,black,"Vachier-Lagrave, Maxime",2778,draw,40,E32,chess.com INT,2020
2791,black,"Vachier Lagrave, M.",2778,draw,40,E32,chess.com INT,2020
2791,white,"Carlsen, Magnus",2863,lose,45,D45,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,lose,45,D45,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,lose,33,D02,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,lose,33,D02,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,win,33,C50,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,win,33,C50,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,48,D02,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,draw,48,D02,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,win,23,C34,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,win,23,C34,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,win,27,B30,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,win,27,B30,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,lose,32,B21,chess24.com INT,2020
2791,black,"Carlsen, Magnus",2863,lose,32,B21,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,win,29,B00,chess24.com INT,2020
2791,white,"Carlsen, Magnus",2863,win,29,B00,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,lose,29,A29,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,lose,29,A29,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,38,E06,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,38,E06,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,29,C65,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,29,C65,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,65,E06,chess24.com INT,2020
2791,white,"Nakamura, Hikaru",2736,draw,65,E06,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,56,C65,chess24.com INT,2020
2791,black,"Nakamura, Hikaru",2736,draw,56,C65,chess24.com INT,2020
2791,white,"Nepomniachtchi, Ian",2784,win,45,A05,chess24.com INT,2020
2791,black,"Nepomniachtchi, Ian",2784,lose,23,C65,chess24.com INT,2020
2791,white,"Nepomniachtchi, Ian",2784,win,34,D70,chess24.com INT,2020
2791,black,"Nepomniachtchi, Ian",2784,draw,57,C65,chess24.com INT,2020
2791,black,"Giri, Anish",2764,draw,58,C65,chess24.com INT,2020
2791,black,"Giri, Anish",2764,draw,43,D41,chess24.com INT,2020
2791,white,"Giri, Anish",2764,lose,50,E60,chess24.com INT,2020
2791,black,"Giri, Anish",2764,win,33,D86,chess24.com INT,2020
2791,white,"Giri, Anish",2764,draw,40,A35,chess24.com INT,2020
2791,white,"Vachier-Lagrave, Maxime",2778,win,16,D15,chess24.com INT,2020
2791,white,"Vachier-Lagrave, Maxime",2778,draw,44,D14,chess24.com INT,2020
2791,black,"Vachier-Lagrave, Maxime",2778,draw,58,E35,chess24.com INT,2020
2791,white,"Vachier-Lagrave, Maxime",2778,draw,63,D12,chess24.com INT,2020
2791,black,"Vachier-Lagrave, Maxime",2778,draw,46,E35,chess24.com INT,2020
2791,white,"Caruana, Fabiano",2835,lose,36,A07,chess24.com INT,2020
2791,black,"Caruana, Fabiano",2835,lose,64,C65,chess24.com INT,2020
2791,white,"Caruana, Fabiano",2835,win,44,D73,chess24.com INT,2020
2791,black,"Caruana, Fabiano",2835,draw,73,B90,chess24.com INT,2020
2791,white,"Caruana, Fabiano",2835,draw,35,A07,chess24.com INT,2020
2791,black,"Firouzja, Alireza",2728,draw,47,C65,chess24.com INT,2020
2791,white,"Firouzja, Alireza",2728,draw,42,A07,chess24.com INT,2020
2791,black,"Firouzja, Alireza",2728,win,45,B90,chess24.com INT,2020
2791,white,"Firouzja, Alireza",2728,draw,42,E51,chess24.com INT,2020
2805,white,"Alekseenko, K.",2698,draw,40,E00,Yekaterinburg RUS,2020
2805,white,"Alekseenko, Kirill",2698,draw,40,E00,Yekaterinburg,2020
2805,black,"Nepomniachtchi, I.",2774,lose,40,C84,Yekaterinburg RUS,2020
2805,black,"Nepomniachtchi, Ian",2774,lose,40,C84,Yekaterinburg,2020
2805,black,"Grischuk, Alexander",2777,draw,54,C88,Yekaterinburg RUS,2020
2805,black,"Grischuk, Alexander",2777,draw,54,C88,Yekaterinburg,2020
2805,white,"Giri, A.",2763,draw,42,E00,Yekaterinburg RUS,2020
2805,white,"Giri, Anish",2763,draw,42,E00,Yekaterinburg,2020
2805,white,"Caruana, F.",2842,win,59,D17,Yekaterinburg RUS,2020
2805,white,"Caruana, Fabiano",2842,win,59,D17,Yekaterinburg,2020
2805,black,"Vachier Lagrave, M.",2767,lose,37,C88,Yekaterinburg RUS,2020
2805,black,"Vachier-Lagrave, Maxime",2767,lose,37,C88,Yekaterinburg,2020
2805,white,Wang Hao,2762,lose,45,A20,Yekaterinburg RUS,2020
2805,white,"Wang, Hao",2762,lose,45,A20,Yekaterinburg,2020
2805,white,"Braun, A.",2609,win,29,E15,chess.com INT,2020
2805,white,"Tomczak, J.",2605,win,40,D85,chess.com INT,2020
2805,black,"Mons, L.",2543,draw,46,A13,chess.com INT,2020
2805,black,"Korobov, Anton",2688,lose,37,D86,chess.com INT,2020
2805,white,"Plenca, Jadranko",2463,win,29,C50,chess.com INT,2020
