rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2669,black,"Sargissian, Gabriel",2559,lose,27,E04,Almaty,2022
2669,white,"Sanal, Vahap",2576,lose,22,D35,Almaty,2022
2669,black,"Tsydypov, Zhamsaran",2593,lose,44,A45,Almaty,2022
2669,white,"Sychev, Klementy",2563,win,53,A05,Almaty,2022
2669,black,"Nguyen, Thai Dai Van",2534,draw,108,A06,Almaty,2022
2669,black,"Shimanov, Aleksandr",2605,lose,90,A45,Almaty,2022
2669,white,"Pantsulaia, Levan",2563,win,56,A43,Almaty,2022
2669,black,"Donchenko, Alexander",2581,win,30,A20,Almaty,2022
2669,white,"Sargsyan, Shant",2602,lose,70,A06,Almaty,2022
2669,black,"Anton Guijarro, David",2585,lose,63,A14,Almaty,2022
2669,black,"Tang, Andrew",2582,win,32,D00,Almaty,2022
2669,white,"Petrov, Nikita",2531,win,73,E10,Almaty,2022
2669,white,"Kovalev, Vladislav",2556,win,53,E11,Almaty,2022
2669,black,"Jumabayev, Rinat",2584,lose,48,A05,Almaty,2022
2669,white,"Chigaev, Maksim",2542,win,55,E94,Almaty,2022
2669,black,"Ghasi, Ameet K",2587,lose,62,A04,Almaty,2022
2669,white,"Vokhidov, Shamsiddin",2597,draw,33,E04,Almaty,2022
2669,black,"Durarbayli, Vasif",2576,lose,39,A46,Almaty,2022
2669,white,"Dragnev, Valentin",2523,draw,41,A05,Almaty,2022
2669,black,"Munkhgal, Gombosuren",2577,win,59,A45,Almaty,2022
2669,white,"Puranik, Abhimanyu",2506,win,40,A48,Almaty,2022
2659,white,"Giri, Anish",2708,draw,39,A48,Almaty,2022
2659,black,"Keymer, Vincent",2590,lose,43,A06,Almaty,2022
2659,white,"Abdusattorov, Nodirbek",2676,win,34,E11,Almaty,2022
2659,black,"Mamedov, Rauf",2578,win,49,C07,Almaty,2022
2659,white,"Tin, Jingyao",2462,win,27,D10,Almaty,2022
2659,black,"Chigaev, Maksim",2548,draw,99,C53,Almaty,2022
2659,white,"Ghaem Maghami, Ehsan",2549,win,42,E01,Almaty,2022
2659,black,"Amin, Bassem",2567,draw,51,C00,Almaty,2022
2659,white,"Murzin, Volodar",2534,lose,64,D12,Almaty,2022
2659,black,"Shimanov, Aleksandr",2616,draw,71,C46,Almaty,2022
2659,white,"Ponkratov, Pavel",2569,win,60,E04,Almaty,2022
2659,black,"Indjic, Aleksandar",2547,draw,58,A20,Almaty,2022
2659,white,"Cheng, Bobby",2476,win,35,A13,Almaty,2022
2669,white,"Mamedyarov, Shakhriyar",2733,win,78,C45,Calcutta,2022
2669,black,"So, Wesley",2763,win,32,A21,Calcutta,2022
2669,white,Praggnanandhaa R,2599,win,48,C78,Calcutta,2022
2669,black,Gukesh D,2632,lose,36,D86,Calcutta,2022
2669,black,"Nakamura, Hikaru",2909,lose,45,A20,Calcutta,2022
2669,white,"Abdusattorov, Nodirbek",2666,lose,37,E47,Calcutta,2022
2669,black,"Nihal, Sarin",2702,lose,36,A06,Calcutta,2022
2669,white,Erigaisi Arjun,2750,lose,76,D30,Calcutta,2022
2669,black,"Maghsoodloo, Parham",2672,draw,50,D10,Calcutta,2022
2669,black,"Mamedyarov, Shakhriyar",2733,win,33,D47,Calcutta,2022
2669,white,"So, Wesley",2763,draw,43,E10,Calcutta,2022
2669,black,Praggnanandhaa R,2599,lose,45,A05,Calcutta,2022
2669,white,Gukesh D,2632,win,37,E04,Calcutta,2022
2669,white,"Nakamura, Hikaru",2909,draw,72,E10,Calcutta,2022
2669,black,"Abdusattorov, Nodirbek",2666,win,143,C02,Calcutta,2022
2669,white,"Nihal, Sarin",2702,win,43,E94,Calcutta,2022
2669,black,Erigaisi Arjun,2750,draw,41,A45,Calcutta,2022
2669,white,"Maghsoodloo, Parham",2672,lose,66,A46,Calcutta,2022
2662,black,"Mamedyarov, Shakhriyar",2747,draw,36,D41,Calcutta,2022
2662,white,"So, Wesley",2784,draw,47,C52,Calcutta,2022
2662,black,"Sethuraman, SP.",2545,draw,124,B67,Calcutta,2022
2662,white,Gukesh D,2632,draw,76,B10,Calcutta,2022
2662,white,"Nakamura, Hikaru",2789,draw,27,C55,Calcutta,2022
2662,black,"Abdusattorov, Nodirbek",2676,win,75,A13,Calcutta,2022
2662,white,"Nihal, Sarin",2616,lose,38,C50,Calcutta,2022
2662,black,Erigaisi Arjun,2628,draw,36,A01,Calcutta,2022
2662,white,"Maghsoodloo, Parham",2641,draw,34,B22,Calcutta,2022
2662,black,Santos Latasa,2622,draw,30,C65,Jerusalem,2022
2662,white,Santos Latasa,2622,draw,30,D39,Jerusalem,2022
2662,white,"Yakubboev, Nodirbek",2563,lose,44,A46,Jerusalem,2022
2662,black,"Yakubboev, Nodirbek",2563,draw,74,E49,Jerusalem,2022
2662,white,"Vachier-Lagrave, Maxime",2775,lose,71,A48,,2022
2662,black,"Vachier-Lagrave, Maxime",2775,win,55,A20,,2022
2662,black,"Niemann, Hans Moke",2599,win,37,A06,Jerusalem,2022
2662,white,"Yakubboev, Nodirbek",2563,lose,63,E48,Jerusalem,2022
2662,black,"Mamedyarov, Shakhriyar",2747,win,34,E20,Jerusalem,2022
2662,white,"Wojtaszek, Radoslaw",2636,draw,74,E10,Jerusalem,2022
2662,white,"Rodshtein, Maxim",2624,draw,52,D43,Jerusalem,2022
2724,white,"Nyzhnyk, Illya",2687,win,39,D12,Saint Louis,2022
2724,black,"Oparin, Grigoriy",2683,win,47,E32,Saint Louis,2022
2724,black,"Niemann, Hans Moke",2699,draw,103,E47,Saint Louis,2022
2724,white,"Abasov, Nijat",2646,lose,56,A46,Saint Louis,2022
2724,black,"Nguyen, Thai Dai Van",2645,draw,32,D41,Saint Louis,2022
2724,white,"Yu, Yangyi",2716,draw,56,C43,Saint Louis,2022
