rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2617,black,"Nakamura, Hikaru",2909,draw,167,A20,Almaty,2022
2617,white,"Vachier-Lagrave, Maxime",2771,draw,70,A07,Almaty,2022
2617,white,"Riazantsev, Alexander",2595,win,26,A07,Almaty,2022
2617,black,"Indjic, Aleksandar",2616,draw,27,E32,Almaty,2022
2617,white,"Duda, Jan Krzysztof",2773,lose,23,A07,Almaty,2022
2617,black,"Dardha, Daniel",2528,draw,44,A20,Almaty,2022
2617,white,"Giri, Anish",2792,draw,29,A07,Almaty,2022
2617,black,"Caruana, Fabiano",2847,win,49,B90,Almaty,2022
2617,white,"Anton Guijarro, David",2585,draw,41,A08,Almaty,2022
2617,black,"Yoo, Christopher Woojin",2463,draw,99,B40,Almaty,2022
2617,white,"Le, Tuan Minh",2530,win,58,A07,Almaty,2022
2617,black,"Nepomniachtchi, Ian",2782,draw,54,B47,Almaty,2022
2617,white,"Ganguly, Surya Shekhar",2530,win,46,A08,Almaty,2022
2617,black,"Madaminov, Mukhiddin",2333,draw,56,A45,Almaty,2022
2617,white,"Dragnev, Valentin",2523,draw,72,A05,Almaty,2022
2617,black,"Najer, Evgeniy",2566,win,68,B48,Almaty,2022
2617,white,"Svane, Frederik",2466,win,57,A04,Almaty,2022
2617,black,"Tsaruk, Maksim",2330,draw,37,B47,Almaty,2022
2617,white,"Puranik, Abhimanyu",2506,draw,66,A05,Almaty,2022
2617,black,"Lazavik, Denis",2484,lose,27,E10,Almaty,2022
2617,white,"Petkov, Momchil",2411,win,38,A07,Almaty,2022
2646,black,"Makhnev, Denis",2513,win,44,E00,Almaty,2022
2646,white,"Indjic, Aleksandar",2547,lose,60,A05,Almaty,2022
2646,black,"Ter-Sahakyan, Samvel",2531,draw,44,E10,Almaty,2022
2646,white,"Idani, Pouya",2523,win,48,A05,Almaty,2022
2646,black,"Nesterov, Arseniy",2497,draw,48,E10,Almaty,2022
2646,white,"Tabatabaei, M. Amin",2526,lose,56,A07,Almaty,2022
2646,black,"Alonso Rosell, Alvar",2472,win,38,E10,Almaty,2022
2646,white,"Lintchevski, Daniil",2520,draw,64,A08,Almaty,2022
2646,black,"Fedorov, Alexei",2531,draw,38,B20,Almaty,2022
2646,white,"Sanal, Vahap",2547,lose,48,A07,Almaty,2022
2646,black,"Yudin, Sergei",2454,draw,52,B40,Almaty,2022
2646,white,"Svane, Frederik",2466,win,60,A07,Almaty,2022
2646,black,"Yoo, Christopher Woojin",2463,draw,28,E20,Almaty,2022
,white,"Jones, Gawain C B",,lose,80,A49,Deizisau,2022
,black,"Sedlak, Nikola",,draw,64,D02,Deizisau,2022
2717,black,"McShane, Luke J",2653,lose,52,,C69,2022
2717,white,"Brkic, Ante",2602,draw,31,E10,Germany,2022
2717,white,"Vachier-Lagrave, Maxime",2747,win,81,D85,Mayrhofen,2022
2717,black,"Mamedyarov, Shakhriyar",2747,draw,31,E21,Mayrhofen,2022
2717,white,"Anand, Viswanathan",2756,win,52,E04,Mayrhofen,2022
2717,black,"Carlsen, Magnus",2856,lose,43,A20,Mayrhofen,2022
2717,white,"Rodshtein, Maxim",2602,draw,80,B12,Mayrhofen,2022
2717,black,"Pijpers, Arthur",2455,draw,36,C95,Mayrhofen,2022
2717,white,"Zwirs, Nico",2481,win,45,A13,Mayrhofen,2022
2716,black,"Cheparinov, Ivan",2686,draw,38,C84,Linares,2022
2716,white,"Van Foreest, Jorden",2691,draw,37,C67,Linares,2022
2716,black,"Fedoseev, Vladimir",2685,draw,30,A29,Linares,2022
2716,white,"Kryvoruchko, Yuriy",2669,win,54,C67,Linares,2022
2716,white,"Shirov, Alexei",2673,draw,66,C84,Linares,2022
2716,black,"Eljanov, Pavel",2695,draw,43,C50,Linares,2022
2716,white,"Ayats Llobera, Gerard",2451,win,22,B41,Linares,2022
2716,black,"Luch, Michal",2364,draw,37,E32,Wojtaszek,2022
2716,white,"Navara, David",2681,win,45,B23,Wojtaszek,2022
2716,black,"Korobov, Anton",2671,draw,44,D19,Wojtaszek,2022
2716,white,Santos Latasa,2680,draw,35,E10,Wojtaszek,2022
2716,white,"Wojtaszek, Radoslaw",2696,win,56,B50,Wojtaszek,2022
2716,black,"Bluebaum, Matthias",2647,lose,45,D10,Wojtaszek,2022
2716,black,"Deac, Bogdan-Daniel",2710,draw,59,A20,Wojtaszek,2022
2716,white,"Kuzubov, Yuriy",2627,draw,37,E10,Wojtaszek,2022
2720,white,"Caruana, Fabiano",2783,draw,18,E32,Chennai,2022
2720,black,"Maghsoodloo, Parham",2701,lose,60,D10,Chennai,2022
2720,white,"Supi, Luis Paulo",2603,draw,77,D31,Chennai,2022
2720,black,"Sargissian, Gabriel",2698,lose,102,D12,Chennai,2022
2720,white,"Ganguly, Surya Shekhar",2608,draw,30,D41,Chennai,2022
2720,black,"Abdusattorov, Nodirbek",2688,win,34,C50,Chennai,2022
2720,white,"Deac, Bogdan-Daniel",2692,draw,31,E10,Chennai,2022
2720,black,"Moussard, Jules",2672,draw,52,C88,Chennai,2022
2720,white,"Mastrovasilis, Dimitrios",2599,win,30,E07,Chennai IND,2022
2720,black,"Schitco, Ivan",2490,win,38,A20,Chennai,2022
2701,white,"Anton Guijarro, David",2692,win,57,A29,Prague,2022
2701,black,"Salem, A.R. Saleh",2679,win,24,D11,Prague,2022
2701,white,"Le, Quang Liem",2709,draw,28,E48,Prague,2022
2701,black,"Nguyen, Thai Dai Van",2610,draw,52,C92,Prague,2022
2701,white,"Navara, David",2681,draw,52,D85,Prague,2022
2701,black,"Maghsoodloo, Parham",2716,win,74,D12,Prague,2022
2701,white,"Shankland, Samuel L",2718,draw,32,D85,Prague,2022
2701,black,"Vallejo Pons, Francisco",2703,draw,33,C50,Prague,2022
2701,white,"Vidit, Santosh Gujrathi",2723,win,38,E48,Prague CZE,2022
2705,white,Nihal Sarin,2648,draw,40,,C78,2022
2705,black,"Khenkin, Igor",2506,win,26,,E10,2022
2705,black,Santos Latasa,2656,draw,58,,C55,2022
2705,white,"Maghsoodloo, Parham",2699,lose,35,,B53,2022
2716,white,"Tabatabaei, M. Amin",2623,lose,62,C80,Belgrade,2022
2716,black,"Giri, Anish",2771,draw,31,E10,Belgrade,2022
2716,black,"Vitiugov, Nikita",2726,draw,31,C88,Belgrade,2022
2716,white,"Giri, Anish",2771,draw,35,C80,Belgrade,2022
2716,black,"Tabatabaei, M. Amin",2623,draw,36,B12,Belgrade,2022
2716,white,"Vitiugov, Nikita",2726,lose,24,B40,Belgrade,2022
2717,white,"So, Wesley",2772,draw,49,C67,Berlin,2022
2614,black,"Sargissian, Gabriel",2661,lose,49,E10,Warsaw,2021
2614,black,"Jobava, Baadur",2689,lose,19,C11,Warsaw,2021
2614,white,"Mamedov, Rauf",2686,draw,56,B30,Warsaw,2021
2614,black,Nihal Sarin,2705,draw,28,C07,Warsaw,2021
2614,white,"Nakamura, Hikaru",2884,draw,51,C76,Warsaw,2021
2705,white,"Yuffa, Daniil",2514,win,34,B11,Warsaw,2021
2705,black,"Pichot, Alan",2523,draw,75,C84,Warsaw,2021
2705,white,"Jakubowski, Krzysztof",2399,win,29,B51,Warsaw,2021
2705,black,Sankalp Gupta,2266,lose,37,A46,Warsaw,2021
2705,black,"Michalik, Peter",2515,draw,72,C15,Warsaw,2021
2705,white,"Peng, Li Min",2411,win,31,B07,Warsaw,2021
2705,black,"Cuenca Jimenez, Jose Fernando",2421,draw,61,D43,Warsaw,2021
2705,white,"Sanal, Vahap",2509,lose,80,E41,Warsaw,2021
2705,black,"Petrosyan, Manuel",2514,lose,44,A46,Warsaw,2021
2705,white,"Janik, Igor",2462,win,33,E11,Warsaw,2021
2705,black,"Puranik, Abhimanyu",2472,draw,87,D70,Warsaw,2021
2705,white,"Babazada, Khazar",2170,win,20,E91,Warsaw,2021
2705,black,"Lima, Darcy",2505,lose,85,C01,Warsaw,2021
2719,white,"Kuzubov, Yuriy",2624,draw,42,E10,Riga,2021
2719,black,"Sjugirov, Sanan",2663,draw,36,C84,Riga,2021
2719,white,"Sevian, Samuel",2654,draw,50,E10,Riga,2021
2719,black,"Najer, Evgeniy",2654,draw,42,D45,Riga,2021
2719,white,"Chigaev, Maksim",2639,win,31,D85,Riga,2021
2719,black,"Bluebaum, Matthias",2640,draw,36,D11,Riga,2021
2719,white,"Swiercz, Dariusz",2647,draw,68,B90,Riga,2021
2719,black,"Movsesian, Sergei",2627,win,56,C82,Riga,2021
2719,white,"Morovic Fernandez, Ivan",2510,win,51,B40,Riga,2021
2719,black,"Dreev, Alexey",2635,lose,40,D92,Riga,2021
2719,white,"Kovalev, Vladislav",2634,draw,30,C97,Riga,2021
2719,black,"Wojtaszek, Radoslaw",2691,draw,23,E06,Legnica,2021
2719,white,"Lagarde, Maxime",2640,draw,32,E62,Legnica,2021
2719,black,"Donchenko, Alexander",2648,draw,24,D02,Legnica,2021
2719,white,"Druska, Juraj",2506,win,64,E04,Legnica,2021
2719,black,"Piorun, Kacper",2655,draw,32,D45,Legnica,2021
2719,white,"Nguyen, Thai Dai Van",2577,draw,25,E06,Legnica,2021
2719,black,"Navara, David",2691,draw,58,C50,Legnica,2021
2719,white,"Lupulescu, Constantin",2645,win,50,E04,Legnica,2021
2725,white,"Korobov, Anton",2685,draw,61,B53,"Struga, Ohrid Lake",2021
2725,black,"Mamedyarov, Shakhriyar",2762,draw,30,E10,"Struga, Ohrid Lake",2021
2725,white,"Svidler, Peter",2701,win,43,C84,"Struga, Ohrid Lake",2021
2725,black,"Mikhalevski, Victor",2573,draw,34,A46,"Struga, Ohrid Lake",2021
2725,white,"Cornette, Matthieu",2578,lose,57,C55,"Struga, Ohrid Lake",2021
2725,black,"Heimann, Andreas",2587,draw,39,D45,"Struga, Ohrid Lake",2021
2730,white,"Anton Guijarro, David",2673,lose,56,B10,chess24.com INT,2021
2730,black,"Mishra, Abhimanyu",2504,lose,70,A41,chess24.com INT,2021
2730,black,"Artemiev, Vladislav",2704,lose,60,B14,chess24.com INT,2021
2730,white,"Ju, Wenjun",2560,win,34,C78,chess24.com INT,2021
2730,black,"Iturrizaga Bonelli, Eduardo",2607,lose,64,A20,chess24.com INT,2021
2730,white,"Tari, Aryan",2639,draw,39,C84,chess24.com INT,2021
2730,black,"Aronian, Levon",2782,lose,49,D27,chess24.com INT,2021
2730,white,"So, Wesley",2772,draw,47,C67,chess24.com INT,2021
2730,black,"Firouzja, Alireza",2759,win,34,B12,chess24.com INT,2021
2730,white,"Van Foreest, Jorden",2688,draw,53,D41,chess24.com INT,2021
2730,black,"Adhiban, Baskaran",2660,draw,42,C50,chess24.com INT,2021
2730,white,"Mamedyarov, Shakhriyar",2782,draw,54,D22,chess24.com INT,2021
2730,black,"Le, Quang Liem",2709,draw,36,D27,chess24.com INT,2021
2730,white,"Koneru, Humpy",2586,win,26,C42,chess24.com INT,2021
2730,black,"Nakamura, Hikaru",2736,lose,47,B11,chess24.com INT,2021
2730,white,"Tabatabaei, M. Amin",2613,draw,115,C78,Sochi,2021
2730,black,"Tabatabaei, M. Amin",2613,lose,57,D26,Sochi,2021
2730,black,"Lupulescu, Constantin",2659,draw,46,B12,Sochi,2021
2730,white,"Lupulescu, Constantin",2659,win,48,B52,Sochi,2021
2730,white,"Quesada Perez, Yasser",2565,win,50,B30,Sochi,2021
2730,black,"Quesada Perez, Yuniesky",2593,draw,32,B11,Sochi,2021
2732,black,"Duda, Jan Krzysztof",2743,draw,58,D10,Wijk aan Zee,2021
2732,white,"Donchenko, Alexander",2668,win,50,E21,Wijk aan Zee,2021
2732,black,"Van Foreest, Jorden",2671,lose,60,C53,Wijk aan Zee,2021
2732,white,"Tari, Aryan",2625,draw,52,C78,Wijk aan Zee,2021
2732,black,"Anton Guijarro, David",2679,draw,45,B56,Wijk aan Zee,2021
2732,white,"Firouzja, Alireza",2749,lose,56,D10,Wijk aan Zee,2021
2732,black,"Carlsen, Magnus",2862,draw,30,B47,Wijk aan Zee,2021
2732,white,"Wojtaszek, Radoslaw",2705,draw,43,E10,Wijk aan Zee,2021
2732,black,"Giri, Anish",2764,draw,26,D20,Wijk aan Zee,2021
2732,white,"Caruana, Fabiano",2823,draw,44,C78,Wijk aan Zee,2021
2732,black,"Grandelius, Nils",2663,win,38,C02,Wijk aan Zee,2021
2732,white,"Esipenko, Andrey",2677,draw,47,B12,Wijk aan Zee,2021
2732,white,"Vachier-Lagrave, Maxime",2784,draw,64,B90,Wijk aan Zee,2021
2732,white,"Grischuk, Alexander",2777,lose,48,A49,lichess.org INT,2020
2732,white,"Duda, Jan Krzysztof",2753,draw,46,E21,Krakow,2020
2732,black,"Klekowski, Maciej",2511,draw,39,D18,Krakow,2020
2732,white,"Golubka, Petro",2495,draw,60,C72,Krakow,2020
2732,black,"Moranda, Wojciech",2605,draw,28,D47,Krakow,2020
2732,white,"Kempinski, Robert",2568,draw,17,E11,Krakow,2020
2732,black,"Matuszewski, Michal",2508,win,72,A45,Krakow,2020
2732,white,"Huschenbeth, Niclas",2605,win,63,E10,Krakow,2020
2732,white,"Kryvoruchko, Yuriy",2682,win,44,C67,Krakow,2020
2719,black,"Anton Guijarro, David",2703,win,31,A11,Biel,2020
2719,white,"Edouard, Romain",2649,win,44,B53,Biel,2020
2719,black,"Wojtaszek, Radoslaw",2719,win,50,D12,Biel,2020
2663,white,"Edouard, Romain",2614,win,37,B50,Biel,2020
2663,black,"Edouard, Romain",2614,lose,45,D20,Biel,2020
2663,black,"Anton Guijarro, David",2590,win,78,A06,Biel,2020
2663,white,"Anton Guijarro, David",2590,lose,51,A80,Biel,2020
2663,white,"Naiditsch, Arkadij",2581,lose,40,A48,Biel,2020
2663,black,"Naiditsch, Arkadij",2581,lose,35,C69,Biel,2020
2663,black,"Adams, Michael",2709,draw,46,B30,Biel,2020
2663,white,"Adams, Michael",2709,lose,43,C78,Biel,2020
2663,white,"Wojtaszek, Radoslaw",2690,draw,59,A16,Biel,2020
2663,black,"Wojtaszek, Radoslaw",2690,lose,36,E10,Biel,2020
2663,black,"Keymer, Vincent",2476,win,35,A06,Biel,2020
2663,white,"Keymer, Vincent",2476,draw,25,A11,Biel,2020
2663,black,"Studer, Noel",2422,win,80,E10,Biel,2020
2663,white,"Studer, Noel",2422,draw,48,A29,Biel,2020
2719,white,"Keymer, Vincent",2558,win,37,D47,Biel,2020
2719,white,"Studer, Noel",2580,draw,52,E51,Biel,2020
2719,black,"Naiditsch, Arkadij",2626,draw,44,B48,Biel,2020
2719,white,"Adams, Michael",2701,draw,46,C84,Biel,2020
2690,white,"Anton Guijarro, David",2718,draw,43,D27,Biel,2020
2690,black,"Edouard, Romain",2654,win,27,D20,Biel,2020
2690,white,"Wojtaszek, Radoslaw",2662,draw,73,D39,Biel,2020
2690,black,"Keymer, Vincent",2487,draw,43,A05,Biel,2020
2690,black,"Studer, Noel",2437,draw,45,D25,Biel,2020
2690,white,"Naiditsch, Arkadij",2584,win,44,A16,Biel,2020
2690,black,"Adams, Michael",2689,win,40,C84,Biel,2020
2719,black,"Grischuk, Alexander",2777,lose,30,E10,chess24.com INT,2020
2719,white,"Nakamura, Hikaru",2736,draw,43,A04,chess24.com INT,2020
2719,white,"Dubov, Daniil",2699,draw,36,D02,chess24.com INT,2020
2719,black,"Carlsen, Magnus",2863,draw,67,A48,chess24.com INT,2020
2719,white,"Artemiev, Vladislav",2716,lose,47,C72,chess24.com INT,2020
2719,white,"Grischuk, Alexander",2777,win,28,C53,chess24.com INT,2020
2719,black,"Nakamura, Hikaru",2736,draw,60,B40,chess24.com INT,2020
2719,black,"Dubov, Daniil",2699,lose,60,E15,chess24.com INT,2020
2719,white,"Carlsen, Magnus",2863,lose,85,B33,chess24.com INT,2020
2719,black,"Artemiev, Vladislav",2716,lose,40,A33,chess24.com INT,2020
2719,white,"Karjakin, Sergey",2752,draw,36,C67,chess.com INT,2020
2719,black,"Wei, Yi",2732,draw,31,A06,chess.com INT,2020
2719,black,"Duda, Jan-Krzysztof",2753,lose,78,D31,chess.com INT,2020
2719,white,"Cori, Jorge",2652,win,31,B32,chess.com INT,2020
2719,black,"Artemiev, Vladislav",2716,lose,45,A13,chess.com INT,2020
2719,black,"Yu, Yangyi",2709,draw,33,D36,chess.com INT,2020
2719,white,"Duda, Jan-Krzysztof",2753,draw,56,E04,chess.com INT,2020
2719,white,"Firouzja, Alireza",2728,draw,67,B10,chess.com INT,2020
2719,white,"Dominguez Perez, Leinier",2758,draw,32,C67,chess.com INT,2020
2713,white,"Kempinski, Robert",2578,win,40,B40,Germany,2020
2713,black,"Navara, David",2717,win,49,D25,Prague,2020
2713,white,"Ragger, Markus",2670,draw,35,C84,Prague,2020
2713,black,"Vidit, Santosh Gujrathi",2721,draw,29,D37,Prague,2020
2713,white,"Anton Guijarro, David",2697,draw,30,E01,Prague,2020
2713,black,"Vitiugov, Nikita",2731,draw,59,D02,Prague,2020
2713,white,"Shankland, Samuel L",2683,draw,48,B90,Prague,2020
2713,black,"Firouzja, Alireza",2726,lose,40,C84,Prague,2020
2713,white,"Duda, Jan Krzysztof",2755,draw,31,E00,Prague,2020
2713,black,"Grandelius, Nils",2659,draw,36,B47,Prague,2020
2713,black,"Vitiugov, Nikita",2731,draw,34,B40,Germany,2020
2713,white,"Oleksiyenko, Mykhaylo",2594,win,47,C65,Germany,2020
2716,black,"Korobov, Anton",2685,draw,48,A30,Czech Republic,2020
2716,white,"Gonda, Laszlo",2506,draw,49,A46,Czech Republic,2020
2653,black,"Karjakin, Sergey",2836,draw,35,C50,Jerusalem,2019
2653,white,"Karjakin, Sergey",2836,draw,74,E10,Jerusalem,2019
2683,black,"Karjakin, Sergey",2749,draw,43,C50,Jerusalem,2019
2683,white,"Karjakin, Sergey",2749,draw,22,E06,Jerusalem,2019
2683,black,"Karjakin, Sergey",2749,draw,37,C53,Jerusalem,2019
2683,white,"Karjakin, Sergey",2749,draw,60,E06,Jerusalem,2019
2724,black,"Karjakin, Sergey",2754,draw,27,C53,Jerusalem,2019
2724,white,"Karjakin, Sergey",2754,draw,21,C67,Jerusalem,2019
2724,black,"Wang, Hao",2756,draw,30,C67,China,2019
2724,black,"Zeng, Chongsheng",2552,lose,37,A14,China,2019
2724,white,"Bai, Jinshi",2600,draw,61,C42,China,2019
2617,white,"Giri, Anish",2740,draw,58,E34,Kolkata,2019
2617,black,"Nepomniachtchi, Ian",2830,lose,44,A18,Kolkata,2019
2617,white,"Vidit, Santosh Gujrathi",2744,draw,34,E00,Kolkata,2019
2617,black,"Ding, Liren",2840,win,96,D20,Kolkata,2019
2617,white,"So, Wesley",2763,lose,50,E04,Kolkata,2019
2617,black,"Carlsen, Magnus",2828,lose,66,D40,Kolkata,2019
2617,white,"Anand, Viswanathan",2791,lose,33,D30,Kolkata,2019
2617,black,"Nakamura, Hikaru",2871,lose,36,C26,Kolkata,2019
2617,white,"Aronian, Levon",2818,draw,39,E10,Kolkata,2019
2617,black,"Giri, Anish",2740,draw,27,A15,Kolkata,2019
2617,white,"Nepomniachtchi, Ian",2830,win,40,A48,Kolkata,2019
2617,black,"Vidit, Santosh Gujrathi",2744,draw,17,D22,Kolkata,2019
2617,white,"Ding, Liren",2840,lose,46,C92,Kolkata,2019
2617,black,"So, Wesley",2763,draw,39,A15,Kolkata,2019
2617,white,"Carlsen, Magnus",2828,lose,67,D31,Kolkata,2019
2617,black,"Anand, Viswanathan",2791,draw,51,C78,Kolkata,2019
2617,white,"Nakamura, Hikaru",2871,lose,38,C72,Kolkata,2019
2617,black,"Aronian, Levon",2818,win,41,C78,Kolkata,2019
2667,black,"Anand, Viswanathan",2757,draw,67,B40,Kolkata,2019
2667,white,"Carlsen, Magnus",2849,draw,75,A50,Kolkata,2019
2667,black,"Giri, Anish",2705,draw,100,A15,Kolkata,2019
2667,white,"Nakamura, Hikaru",2812,lose,38,E04,Kolkata,2019
2667,black,"Aronian, Levon",2768,lose,74,C89,Kolkata,2019
2667,white,"Nepomniachtchi, Ian",2765,win,32,B51,Kolkata,2019
2667,black,"So, Wesley",2802,draw,44,A15,Kolkata,2019
2667,white,"Ding, Liren",2832,draw,41,D86,Kolkata,2019
2667,white,"Vidit, Santosh Gujrathi",2674,draw,48,E06,Kolkata,2019
2731,white,"Dreev, Alexey",2671,draw,30,B12,Budva,2019
2731,black,"Mamedov, Rauf",2648,draw,54,C07,Budva,2019
2731,white,"Edouard, Romain",2635,draw,31,C07,Budva,2019
2731,white,"Dominguez Perez, Leinier",2762,draw,37,E10,Budva,2019
2731,black,"Howell, David",2701,draw,236,B51,Budva,2019
2731,white,"Pijpers, Arthur",2473,win,53,C07,Budva,2019
2731,white,"Svidler, Peter",2719,draw,33,C53,Hamburg,2019
2731,black,"Svidler, Peter",2719,lose,47,C50,Hamburg,2019
2748,white,"Leko, Peter",2670,draw,38,E10,Douglas,2019
2748,black,"Adhiban, Baskaran",2639,win,46,E00,Douglas,2019
2748,white,"Durarbayli, Vasif",2617,win,69,E00,Douglas,2019
2748,black,"Volokitin, Andrei",2627,draw,39,C60,Douglas,2019
2748,white,"Puranik, Abhimanyu",2571,draw,56,A05,Douglas,2019
2748,black,"Kovalev, Vladislav",2661,lose,60,C92,Douglas,2019
2748,white,"Sarana, Alexey",2655,draw,34,E01,Douglas,2019
2748,black,"Kasimdzhanov, Rustam",2657,draw,31,C53,Douglas,2019
2748,white,"L&#039;Ami, Erwin",2619,win,58,E04,Douglas,2019
2748,black,"Van Foreest, Jorden",2621,draw,22,C84,Douglas,2019
2748,white,"Alekseev, Evgeny",2629,draw,54,E04,Douglas,2019
2748,white,"Kociscak, Jiri",2499,draw,53,,A80,2019
2748,black,"Kempinski, Robert",2578,draw,37,,E12,2019
2746,white,"Alekseenko, Kirill",2671,lose,52,C84,Khanty-Mansiysk,2019
2746,black,"Alekseenko, Kirill",2671,lose,52,C50,Khanty-Mansiysk,2019
2746,black,"Fedoseev, Vladimir",2664,draw,61,A18,Khanty-Mansiysk,2019
2746,white,"Fedoseev, Vladimir",2664,win,54,D35,Khanty-Mansiysk,2019
2746,white,"Gonzalez Vidal, Yuri",2552,win,42,E15,Khanty-Mansiysk,2019
2746,black,"Gonzalez Vidal, Yuri",2552,win,51,C53,Khanty-Mansiysk,2019
2738,white,"Kempinski, Robert",2579,draw,38,B40,Poland,2019
2738,black,"Huschenbeth, Niclas",2620,win,30,C88,Poland,2019
2738,white,"Wojtaszek, Radoslaw",2739,draw,47,E00,Poland,2019
2738,black,"Mista, Aleksander",2599,win,114,C89,Poland,2019
2738,black,"Piorun, Kacper",2660,win,41,C53,Poland,2019
2738,white,"Heberla, Bartlomiej",2552,win,50,D31,Poland,2019
2738,black,"Tomczak, Jacek",2628,draw,17,B33,Poland,2019
2738,black,"Yu, Yangyi",2752,draw,30,E21,China,2019
2738,white,"Xu, Minghui",2399,win,35,C92,China,2019
2738,black,"Liu, Guanchu",2449,win,50,B40,China,2019
2738,white,"Wei, Yi",2727,win,65,D20,China,2019
2670,white,"So, Wesley",2806,draw,41,E06,Riga,2019
2670,black,"So, Wesley",2806,lose,89,C53,Riga,2019
2734,white,"So, Wesley",2763,draw,29,E06,Riga,2019
2734,black,"So, Wesley",2763,draw,45,C53,Riga,2019
2730,black,"Ragger, Markus",2682,draw,19,C53,Brest,2019
2730,black,"Eljanov, Pavel",2661,win,37,D30,Brest,2019
2730,white,Nihal Sarin,2598,draw,66,A04,Brest,2019
2730,white,"Hera, Imre Jr.",2611,draw,30,B01,Brest,2019
2730,black,"Hamdouchi, Hicham",2584,draw,20,C88,Brest,2019
2730,black,"Tabatabaei, M.amin",2610,draw,49,E10,Brest,2019
2730,white,"Godart, Francois",2419,win,42,A07,Brest,2019
2730,white,"Balogh, Csaba",2598,win,36,C53,Brest,2019
2730,black,"Jones, Gawain C",2702,draw,21,C55,Malmo,2019
2730,white,"Nisipeanu, Liviu-Dieter",2667,draw,44,C11,Malmo,2019
2730,black,"Saric, Ivan",2694,draw,56,C88,Malmo,2019
2730,white,Nihal Sarin,2598,win,46,B30,Malmo,2019
2730,black,"Grandelius, Nils",2688,win,73,C50,Malmo,2019
2730,white,"Maghsoodloo, Parham",2671,draw,60,C78,Malmo,2019
2730,white,"Hillarp Persson, Tiger",2563,draw,74,B42,Malmo,2019
2723,black,"Ding, Liren",2809,lose,73,A29,Shenzhen,2019
2723,white,"Yu, Yangyi",2751,win,57,C42,Shenzhen,2019
2723,black,"Rapport, Richard",2726,lose,68,A05,Shenzhen,2019
2723,white,"Giri, Anish",2797,draw,66,B51,Shenzhen,2019
2723,white,"Jakovenko, Dmitrij",2719,win,44,C67,Shenzhen,2019
2723,black,"Yu, Yangyi",2751,win,76,C50,Shenzhen,2019
2723,white,"Ding, Liren",2809,win,79,C88,Shenzhen,2019
2723,white,"Rapport, Richard",2726,win,55,C15,Shenzhen,2019
2723,black,"Giri, Anish",2797,lose,40,C53,Shenzhen,2019
2723,black,"Jakovenko, Dmitrij",2719,draw,35,B48,Shenzhen,2019
2723,white,"Leko, Peter",2675,draw,24,D41,Germany,2019
2723,black,"Vachier-Lagrave, Maxime",2773,lose,66,B48,Germany,2019
2730,black,"Gelfand, Boris",2655,lose,24,E10,Czech Republic,2019
2730,white,"Navara, David",2739,draw,43,B90,Czech Republic,2019
2730,white,"Vidit, Santosh Gujrathi",2711,draw,32,C53,Czech Republic,2019
2730,black,"Laznicka, Viktor",2670,draw,28,A13,Czech Republic,2019
2730,white,"Rapport, Richard",2738,draw,42,C15,Czech Republic,2019
2730,black,"Wojtaszek, Radoslaw",2722,draw,35,E10,Czech Republic,2019
2730,white,"Duda, Jan Krzysztof",2731,win,28,B30,Czech Republic,2019
2730,black,"Vitiugov, Nikita",2726,lose,30,C67,Czech Republic,2019
2730,white,"Shankland, Samuel L",2731,draw,45,B92,Czech Republic,2019
2726,black,"Caruana, Fabiano",2828,win,32,A01,Saint Louis,2019
2726,white,"Caruana, Fabiano",2828,lose,35,B90,Saint Louis,2019
2726,black,"Caruana, Fabiano",2828,lose,38,E04,Saint Louis,2019
2726,white,"Caruana, Fabiano",2828,lose,48,D37,Saint Louis,2019
2726,black,"Caruana, Fabiano",2828,win,61,C77,Saint Louis,2019
2726,white,"Caruana, Fabiano",2828,lose,43,D37,Saint Louis,2019
2726,black,"Caruana, Fabiano",2828,draw,34,C42,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,lose,36,E53,Saint Louis,2019
2641,black,"Caruana, Fabiano",2770,win,33,E46,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,win,36,C11,Saint Louis,2019
2641,black,"Caruana, Fabiano",2770,lose,46,C24,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,draw,91,C15,Saint Louis,2019
2641,black,"Caruana, Fabiano",2770,lose,31,A06,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,lose,62,B67,Saint Louis,2019
2641,black,"Caruana, Fabiano",2770,lose,36,A13,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,win,42,B42,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,lose,40,A46,Saint Louis,2019
2641,black,"Caruana, Fabiano",2770,draw,53,A21,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,lose,34,D04,Saint Louis,2019
2641,black,"Caruana, Fabiano",2770,lose,34,B02,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,lose,34,A46,Saint Louis,2019
2641,black,"Caruana, Fabiano",2770,lose,35,B47,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,draw,32,A06,Saint Louis,2019
2641,white,"Caruana, Fabiano",2770,lose,36,A22,Saint Louis,2019
2711,black,"Caruana, Fabiano",2772,lose,49,C95,Saint Louis,2019
2711,white,"Caruana, Fabiano",2772,lose,22,A20,Saint Louis,2019
