rating,play_as,opponent,opponent_rating,result,move,ECO,site,year
2666,white,"Pang, Tao",2427,draw,55,C11,Fuling Chongqing,2022
2666,black,"Li, Chao B",2679,draw,30,C67,Fuling Chongqing,2022
2666,white,"Xu, Yinglun",2549,draw,65,C11,Fuling Chongqing,2022
2666,black,"Chen, Qi b",2485,lose,59,B01,Fuling Chongqing,2022
2666,white,"Ding, Liren",2808,draw,37,C67,Fuling Chongqing,2022
2666,black,"Zhao, Yuanhe",2440,draw,61,A06,Fuling Chongqing,2022
2666,white,"Zhao, Jun",2619,win,53,E01,Fuling Chongqing,2022
2666,black,"Zhou, Weiqi",2597,draw,31,C67,Fuling Chongqing,2022
2666,black,"Zeng, Chongsheng",2597,draw,39,E04,Fuling Chongqing,2022
2645,white,"Wei, Yi",2729,draw,31,C45,Hangzhou ,2022
2645,black,"Bu, Xiangzhi",2708,draw,31,D41,Hangzhou ,2022
2645,white,"Xu, Xiangyu",2564,win,28,B90,Hangzhou ,2022
2645,white,"Ding, Liren",2799,draw,26,C48,Hangzhou ,2022
2645,white,"Bu, Xiangzhi",2708,draw,35,E10,Hangzhou ,2022
2645,black,"Xu, Xiangyu",2564,draw,30,C48,Hangzhou ,2022
2645,black,"Xu, Xiangyu",2564,draw,34,D35,Hangzhou ,2022
2645,white,"Zhang, Zhong",2640,win,42,D20,Hangzhou ,2022
2645,black,"Ding, Liren",2799,draw,31,C67,Hangzhou ,2022
2630,black,"Li, Chao B",2683,draw,40,A00,"Liaocheng, China",2021
2630,black,"Bu, Xiangzhi",2705,draw,46,A00,"Liaocheng, China",2021
2630,white,"Wei, Yi",2725,draw,38,A00,"Liaocheng, China",2021
2630,white,"Tan, Zhongyi",2525,win,39,A00,"Liaocheng, China",2021
2627,black,"Andreikin, Dmitry",2724,draw,56,C67,China,2019
2627,white,"Malakhov, Vladimir",2668,draw,31,C67,China,2019
2627,black,"Ni, Hua",2669,draw,23,D10,China,2019
2629,black,"Li, Chao B",2687,lose,63,D53,China,2019
2629,black,"Rapport, Richard",2747,lose,59,D00,China,2019
2629,white,"Wei, Yi",2727,draw,40,D70,China,2019
2629,black,"Cheparinov, Ivan",2663,draw,48,C45,China,2019
2626,white,"Ni, Hua",2668,draw,23,A05,China,2019
2626,white,"Wei, Yi",2741,draw,32,E10,Daqing,2019
2626,white,"Yu, Yangyi",2738,draw,19,E10,Daqing,2019
2626,white,"Bu, Xiangzhi",2729,draw,19,E10,Daqing,2019
2630,black,"Naiditsch, Arkadij",2695,lose,41,C67,China,2019
2625,black,"Philippe, Guillaume",2355,win,55,A01,Vandoeuvre,2019
2625,white,"Bauer, Christian",2637,lose,53,E32,Vandoeuvre,2019
2625,white,"Tilicheev, Viacheslav",2507,draw,54,D44,Vandoeuvre,2019
2625,black,"Daeschler, Florian",2235,win,53,E08,Vandoeuvre,2019
2625,white,"Xu, Xiangyu",2567,draw,34,D70,Vandoeuvre,2019
2625,black,"Guilleux, Fabien",2418,win,50,D31,Vandoeuvre,2019
2625,white,"Laurent Paoli, Pierre",2342,draw,74,B00,Vandoeuvre,2019
2625,black,"Stephan, Victor",2317,win,75,D12,Vandoeuvre,2019
2625,white,"Schmit, Vincent",2171,win,66,C60,Vandoeuvre,2019
2620,white,"Noe, Christopher",2532,win,42,C70,Boeblingen,2018
2620,white,"Dann, Matthias",2539,win,47,A62,Boeblingen,2018
2620,white,"Annaberdiev, Meilis",2513,win,35,D38,Boeblingen,2018
2620,black,"Gschnitzer, Adrian",2374,win,65,B01,Boeblingen,2018
2620,white,"Schmitz, Thorsten",2288,win,41,C41,Boeblingen,2018
2620,black,"Li, Yankai",2427,win,30,D31,China,2018
2620,white,"Wan, Yunguo",2529,win,55,D70,China,2018
2620,black,"Wang, Yiye",2437,draw,39,A20,China,2018
2620,white,"Cheparinov, Ivan",2711,draw,30,C67,China,2018
2619,black,"Inarkiev, Ernesto",2691,draw,35,D35,Wuxi,2018
